,url,address,zip_code,city,floor_area,plot_area,energy_label,price,image,combined_address,full_address
0,https://www.funda.nl/en/detail/koop/voorthuizen/huis-baron-van-nagellstraat-10/43602413/,Baron van Nagellstraat 10,3781 AR,Voorthuizen,165 m²,974 m²,D,"€ 800,000 k.k.",https://cloud.funda.nl/valentina_media/195/849/010_720x480.jpg,"Baron van Nagellstraat 10, 3781 AR Voorthuizen Netherlands","Baron van Nagellstraat 10, 3781 AR Voorthuizen Netherlands"
1,https://www.funda.nl/en/detail/koop/ijsselmuiden/huis-de-akkers-10/43602478/,de Akkers 10,8271 JC,IJsselmuiden,264 m²,979 m²,A,"€ 925,000 k.k.",https://cloud.funda.nl/valentina_media/195/847/361_720x480.jpg,"de Akkers 10, 8271 JC IJsselmuiden Netherlands","de Akkers 10, 8271 JC IJsselmuiden Netherlands"
2,https://www.funda.nl/en/detail/koop/beugen/huis-brouwersstraat-17/43601023/,Brouwersstraat 17,5835 AV,Beugen,175 m²,850 m²,B,"€ 650,000 k.k.",https://cloud.funda.nl/valentina_media/195/834/634_720x480.jpg,"Brouwersstraat 17, 5835 AV Beugen Netherlands","Brouwersstraat 17, 5835 AV Beugen Netherlands"
3,https://www.funda.nl/en/detail/koop/beuningen-ge/huis-hogewaldstraat-17/43601984/,Hogewaldstraat 17,6641 KD,Beuningen (GE),232 m²,"1,980 m²",A+,"€ 1,250,000 k.k.",https://cloud.funda.nl/valentina_media/195/828/848_720x480.jpg,"Hogewaldstraat 17, 6641 KD Beuningen (GE) Netherlands","Hogewaldstraat 17, 6641 KD Beuningen  Netherlands"
4,https://www.funda.nl/en/detail/koop/collendoorn/huis-jachthuisweg-19-a/43601838/,Jachthuisweg 19 a,7798 CM,Collendoorn,142 m²,"14,500 m²",D,"€ 635,000 k.k.",https://cloud.funda.nl/valentina_media/195/827/378_720x480.jpg,"Jachthuisweg 19 a, 7798 CM Collendoorn Netherlands","Jachthuisweg 19 a, 7798 CM Collendoorn Netherlands"
5,https://www.funda.nl/en/detail/koop/vaassen/huis-eikenweg-15/43601759/,Eikenweg 15,8172 AG,Vaassen,111 m²,997 m²,D,"€ 665,000 k.k.",https://cloud.funda.nl/valentina_media/195/824/091_720x480.jpg,"Eikenweg 15, 8172 AG Vaassen Netherlands","Eikenweg 15, 8172 AG Vaassen Netherlands"
6,https://www.funda.nl/en/detail/koop/marienheem/huis-hellendoornseweg-36/43601497/,Hellendoornseweg 36,8106 AJ,Mariënheem,184 m²,"6,701 m²",B,"€ 850,000 k.k.",https://cloud.funda.nl/valentina_media/195/811/186_720x480.jpg,"Hellendoornseweg 36, 8106 AJ Mariënheem Netherlands","Hellendoornseweg 36, 8106 AJ Mariënheem Netherlands"
7,https://www.funda.nl/en/detail/koop/helmond/huis-dr-dreeslaan-18/43601496/,Dr. Dreeslaan 18,5707 KD,Helmond,286 m²,"1,213 m²",B,"€ 835,000 k.k.",https://cloud.funda.nl/valentina_media/195/811/102_720x480.jpg,"Dr. Dreeslaan 18, 5707 KD Helmond Netherlands","Dr. Dreeslaan 18, 5707 KD Helmond Netherlands"
8,https://www.funda.nl/en/detail/koop/kockengen/huis-spengen-41/43600129/,Spengen 41,3628 EW,Kockengen,150 m²,885 m²,B,"€ 925,000 k.k.",https://cloud.funda.nl/valentina_media/195/798/782_720x480.jpg,"Spengen 41, 3628 EW Kockengen Netherlands","Spengen 41, 3628 EW Kockengen Netherlands"
9,https://www.funda.nl/en/detail/koop/zierikzee/huis-nassaulaan-24/43600038/,Nassaulaan 24,4301 MX,Zierikzee,142 m²,"1,052 m²",C,"€ 799,000 k.k.",https://cloud.funda.nl/valentina_media/195/797/027_720x480.jpg,"Nassaulaan 24, 4301 MX Zierikzee Netherlands","Nassaulaan 24, 4301 MX Zierikzee Netherlands"
